1,2,6,7,11,12,16,17,18,19,21,23,25,26,27,30,35,37,43,44,49
2,2,4,5,8,11,12,14,16,17,19,20,23,24,26,27,37,40,42,43,49
3,5,6,7,8,9,14,18,19,20,21,22,24,27,34,36,37,40,46,48,49
4,2,3,10,12,16,18,19,20,23,28,32,33,38,40,41,43,44,46,49,50
5,1,2,7,10,12,14,16,18,20,22,25,27,29,30,33,35,38,44,48,50
6,2,3,4,6,7,10,13,14,15,16,21,24,28,33,38,41,43,44,45,49
7,1,2,3,9,10,11,14,16,17,18,19,20,21,23,24,29,39,42,43,50
8,1,5,7,14,19,20,22,25,28,29,31,32,33,35,38,41,42,43,44,50
9,2,4,5,6,8,10,14,15,16,19,20,22,23,28,34,37,40,46,47,49
10,2,3,5,6,9,13,14,21,22,24,28,30,31,37,42,43,45,46,48,49
11,1,3,4,5,6,7,8,9,10,21,23,29,30,35,36,37,39,40,49,50
12,2,3,5,6,8,11,20,21,24,26,27,34,35,36,38,41,42,43,48,50
13,2,3,6,10,11,14,16,18,19,22,26,27,30,35,40,41,43,44,47,49
14,1,2,5,7,9,10,11,12,14,16,17,18,28,32,33,38,42,45,47,50
15,3,5,8,11,14,16,17,18,23,24,29,30,31,32,35,38,42,43,44,46
16,2,3,4,6,7,9,11,22,23,24,25,28,31,36,37,39,41,46,48,49
17,3,7,9,10,12,15,17,20,23,24,27,29,30,31,35,38,40,43,44,48
18,2,4,8,10,12,15,16,20,21,27,32,33,36,37,39,42,43,44,49,50
19,1,2,3,4,5,6,12,13,14,17,18,19,25,26,28,34,41,43,47,48
20,1,11,12,13,20,21,22,23,24,25,30,33,37,38,39,42,43,44,46,47
21,3,4,9,11,17,18,22,24,25,29,30,34,36,37,38,39,40,43,44,48
22,1,3,4,6,7,9,13,14,15,17,23,27,28,31,34,37,44,45,49,50
23,1,3,4,6,9,11,12,13,15,18,22,23,26,31,37,38,40,42,44,47
24,6,9,10,14,20,21,23,29,30,34,37,38,39,40,41,42,45,46,49,50
25,2,3,4,14,17,25,26,27,29,30,31,32,34,39,40,41,45,47,48,49
26,1,2,3,4,6,9,12,13,16,17,18,25,27,31,33,34,41,45,46,50
27,3,7,10,11,12,13,22,23,25,26,27,28,33,34,36,37,40,42,48,50
28,1,7,10,11,14,16,18,19,21,23,25,26,27,29,31,32,33,36,48,49
29,2,3,4,8,11,14,15,17,18,19,21,26,33,34,35,37,39,44,45,46
30,2,4,5,7,8,14,21,22,24,26,28,29,35,36,39,41,43,44,48,50
31,2,3,5,7,11,13,15,17,20,23,26,28,29,32,34,36,41,45,48,49
32,2,3,4,15,17,19,20,22,24,26,29,32,38,39,40,43,44,46,47,48
33,2,3,7,9,10,15,16,18,24,25,26,31,34,35,36,38,40,43,44,47
34,2,3,4,5,6,10,12,19,24,26,30,31,32,33,35,37,40,45,46,49
35,3,7,9,16,17,21,22,24,26,28,30,31,32,38,39,41,42,43,45,50
36,1,4,5,7,11,13,14,22,24,27,29,30,32,34,36,40,41,46,47,49
37,6,8,10,11,13,19,20,26,30,31,34,37,39,40,41,44,45,46,49,50
38,2,4,6,9,10,16,18,19,22,25,27,30,32,33,34,35,37,42,48,50
39,2,4,5,7,8,9,15,20,21,22,25,27,29,32,37,39,43,44,47,48
40,1,2,3,8,10,11,12,13,15,16,17,20,23,24,26,31,33,40,42,48
41,1,3,4,9,11,13,14,16,19,27,29,30,31,32,33,39,40,45,47,50
42,1,2,6,9,11,18,21,22,24,25,30,33,34,36,37,42,45,46,47,49
43,1,3,6,8,9,10,15,16,17,19,21,22,24,26,30,34,41,47,49,50
44,2,3,8,9,11,13,14,26,30,31,32,33,35,36,37,40,42,44,46,47
45,4,5,6,7,8,11,14,17,18,19,21,23,24,29,33,36,38,39,41,49
46,1,2,5,6,7,12,13,17,18,21,23,26,29,31,34,37,46,47,49,50
47,1,2,3,7,9,10,15,16,17,19,21,22,32,33,38,40,42,43,48,50
48,1,2,4,12,15,16,18,19,22,23,24,26,28,29,37,41,43,47,48,49
49,4,7,12,14,17,19,20,22,23,25,26,33,34,36,37,41,42,47,48,49
50,4,7,10,15,16,17,18,22,27,29,30,31,33,37,40,41,44,46,47,50
51,2,6,7,11,12,16,17,18,19,21,23,25,26,27,30,35,37,43,44,49
52,2,4,5,8,11,12,14,16,17,19,20,23,24,26,27,37,40,42,43,49
53,5,6,7,8,9,14,18,19,20,21,22,24,27,34,36,37,40,46,48,49
54,2,3,10,12,16,18,19,20,23,28,32,33,38,40,41,43,44,46,49,50
55,1,2,7,10,12,14,16,18,20,22,25,27,29,30,33,35,38,44,48,50
56,2,3,4,6,7,10,13,14,15,16,21,24,28,33,38,41,43,44,45,49
57,1,2,3,9,10,11,14,16,17,18,19,20,21,23,24,29,39,42,43,50
58,1,5,7,14,19,20,22,25,28,29,31,32,33,35,38,41,42,43,44,50
59,2,4,5,6,8,10,14,15,16,19,20,22,23,28,34,37,40,46,47,49
60,2,3,5,6,9,13,14,21,22,24,28,30,31,37,42,43,45,46,48,49
61,1,3,4,5,6,7,8,9,10,21,23,29,30,35,36,37,39,40,49,50
62,2,3,5,6,8,11,20,21,24,26,27,34,35,36,38,41,42,43,48,50
63,2,3,6,10,11,14,16,18,19,22,26,27,30,35,40,41,43,44,47,49
64,1,2,5,7,9,10,11,12,14,16,17,18,28,32,33,38,42,45,47,50
65,3,5,8,11,14,16,17,18,23,24,29,30,31,32,35,38,42,43,44,46
66,2,3,4,6,7,9,11,22,23,24,25,28,31,36,37,39,41,46,48,49
67,3,7,9,10,12,15,17,20,23,24,27,29,30,31,35,38,40,43,44,48
68,2,4,8,10,12,15,16,20,21,27,32,33,36,37,39,42,43,44,49,50
69,1,2,3,4,5,6,12,13,14,17,18,19,25,26,28,34,41,43,47,48
70,1,11,12,13,20,21,22,23,24,25,30,33,37,38,39,42,43,44,46,47
71,3,4,9,11,17,18,22,24,25,29,30,34,36,37,38,39,40,43,44,48
72,1,3,4,6,7,9,13,14,15,17,23,27,28,31,34,37,44,45,49,50
73,1,3,4,6,9,11,12,13,15,18,22,23,26,31,37,38,40,42,44,47
74,6,9,10,14,20,21,23,29,30,34,37,38,39,40,41,42,45,46,49,50
75,2,3,4,14,17,25,26,27,29,30,31,32,34,39,40,41,45,47,48,49
76,1,2,3,4,6,9,12,13,16,17,18,25,27,31,33,34,41,45,46,50
77,3,7,10,11,12,13,22,23,25,26,27,28,33,34,36,37,40,42,48,50
78,1,7,10,11,14,16,18,19,21,23,25,26,27,29,31,32,33,36,48,49
79,2,3,4,8,11,14,15,17,18,19,21,26,33,34,35,37,39,44,45,46
80,2,4,5,7,8,14,21,22,24,26,28,29,35,36,39,41,43,44,48,50
81,2,3,5,7,11,13,15,17,20,23,26,28,29,32,34,36,41,45,48,49
82,2,3,4,15,17,19,20,22,24,26,29,32,38,39,40,43,44,46,47,48
83,2,3,7,9,10,15,16,18,24,25,26,31,34,35,36,38,40,43,44,47
84,2,3,4,5,6,10,12,19,24,26,30,31,32,33,35,37,40,45,46,49
85,3,7,9,16,17,21,22,24,26,28,30,31,32,38,39,41,42,43,45,50
86,1,4,5,7,11,13,14,22,24,27,29,30,32,34,36,40,41,46,47,49
87,6,8,10,11,13,19,20,26,30,31,34,37,39,40,41,44,45,46,49,50
88,2,4,6,9,10,16,18,19,22,25,27,30,32,33,34,35,37,42,48,50
89,2,4,5,7,8,9,15,20,21,22,25,27,29,32,37,39,43,44,47,48
90,1,2,3,8,10,11,12,13,15,16,17,20,23,24,26,31,33,40,42,48
91,1,3,4,9,11,13,14,16,19,27,29,30,31,32,33,39,40,45,47,50
92,1,2,6,9,11,18,21,22,24,25,30,33,34,36,37,42,45,46,47,49
93,1,3,6,8,9,10,15,16,17,19,21,22,24,26,30,34,41,47,49,50
94,2,3,8,9,11,13,14,26,30,31,32,33,35,36,37,40,42,44,46,47
95,4,5,6,7,8,11,14,17,18,19,21,23,24,29,33,36,38,39,41,49
96,1,2,5,6,7,12,13,17,18,21,23,26,29,31,34,37,46,47,49,50
97,1,2,3,7,9,10,15,16,17,19,21,22,32,33,38,40,42,43,48,50
98,1,2,4,12,15,16,18,19,22,23,24,26,28,29,37,41,43,47,48,49
99,4,7,12,14,17,19,20,22,23,25,26,33,34,36,37,41,42,47,48,49
100,4,7,10,15,16,17,18,22,27,29,30,31,33,37,40,41,44,46,47,50
101,2,6,7,11,12,16,17,18,19,21,23,25,26,27,30,35,37,43,44,49
102,2,4,5,8,11,12,14,16,17,19,20,23,24,26,27,37,40,42,43,49
103,5,6,7,8,9,14,18,19,20,21,22,24,27,34,36,37,40,46,48,49
104,2,3,10,12,16,18,19,20,23,28,32,33,38,40,41,43,44,46,49,50
105,1,2,7,10,12,14,16,18,20,22,25,27,29,30,33,35,38,44,48,50
106,2,3,4,6,7,10,13,14,15,16,21,24,28,33,38,41,43,44,45,49
